"","X.1","X","name","address","type","city","state","zip","Zip.Plus","Contact.First.Name","Contact.Last.Name","contact","Phone","Business.Description","Primary.NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business.Type","County","Employee","Annual.Sales","URL","Year.Established","address_new","url","latitude","longitude"
"20",20,22,"Camp Chestnut Ridge","4300 Camp Chestnut Ridge Rd","Religoeus","Efland","NC",27243,9722,"Lena","Connor","Religious Dir",9193042178,"Camps",721214,NA,NA,NA,NA,"Private","Orange",10,1076000,"campchestnutridge.org",1959,"4300 Camp Chestnut Ridge Rd Efland NC 27243","www.campchestnutridge.org",36.038240048611,-79.192874295696
"21",21,23,"Camp Corral","801 N West St","Other","Raleigh","NC",27603,1137,"Sarah","Seaman","Director",9196593350,"Camps",721214,813319,NA,NA,NA,"Private","Wake",10,1261000,"campcorral.org",2011,"801 N West St Raleigh NC 27603","www.campcorral.org",35.790375268178,-78.644700022164
"22",22,25,"Camp Dixie","373 Bladen Union Church Rd","Religoeus","Fayetteville","NC",28306,9415,"Gaye","Smith","Owner",9108655180,"Camps",721214,531311,712190,813319,813110,"Private","Bladen",11,1662000,"campdixie.com",1967,"373 Bladen Union Church Rd Fayetteville NC 28306","www.campdixie.com",34.81474546485,-78.839691748654
"23",23,26,"Camp Duncan","676 Hight Rd","Girls","Aberdeen","NC",28315,8951,"Paul","Daley","Director",9109443077,"Camps",721214,NA,NA,NA,NA,"Private","Moore",20,2052000,"campduncannc.org",2010,"676 Hight Rd Aberdeen NC 28315","www.campduncannc.org",35.107152549164,-79.410153633533
"24",24,27,"Camp Flintlock","1580 King Mill Rd","Other","Four Oaks","NC",27524,9048,"Timothy R","Langdon","President",9199381776,"Camps",721214,NA,NA,NA,NA,"Private","Johnston",3,307000,"campflintlock.com",1999,"1580 King Mill Rd Four Oaks NC 27524","www.campflintlock.com",35.482333043422,-78.489762706787
"25",25,28,"Camp Frontier","5258 Bass Mountain Rd","Other","Snow Camp","NC",27349,9669,"Andrew","Sharpe","Exec Director",3363769793,"Camps",721214,NA,NA,NA,NA,"Private","Alamance",30,2771000,NA,2008,"5258 Bass Mountain Rd Snow Camp NC 27349","",35.952817627573,-79.41750885474
"26",26,29,"Camp Ginger Cascades","1963 Cascade Ln","Girls","Lenoir","NC",28645,7544,"Cyndie","Tewinkle","Director",8287573204,"Camps",721214,NA,NA,NA,NA,"Private","Caldwell",5,452000,"cvgirlscouts.org",2008,"1963 Cascade Ln Lenoir NC 28645","www.cvgirlscouts.org",35.799774927439,-81.417872206683
"27",27,30,"Camp Glen Arden For Girls","1261 Cabin Creek Rd","Girls","Zirconia","NC",28790,468,"Carol","Thurman","Exec Director",8286928362,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",60,16896000,"campglenarden.com",1991,"1261 Cabin Creek Rd Zirconia NC 28790","www.campglenarden.com",35.214680871005,-82.4780046208
"28",28,31,"Camp Green Cove","617 Green Cove Rd","Girls","Zirconia","NC",28790,4702,"Nancy","Bell","President",8286926355,"Camps",721214,721211,611620,NA,NA,"Private","Henderson",75,21120000,"greencove.com",1922,"617 Green Cove Rd Zirconia NC 28790","www.greencove.com",35.212884794884,-82.429471034447
"29",29,32,"Camp Greystone","21 Camp Greystone Ln","Religoeus","Zirconia","NC",28790,4725,"James F","Miller IV","Owner",8286933182,"Camps",721214,624190,813410,NA,NA,"Private","Henderson",250,70398000,"campgreystone.com",1920,"21 Camp Greystone Ln Zirconia NC 28790","www.campgreystone.com",35.221063107717,-82.435678110434
"30",30,33,"Camp Greystone Kitchen","98 Apple Hill Ln","Religoeus","Zirconia","NC",28790,NA,NA,NA,NA,8286937771,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",28,7885000,"campgreystone.com",2011,"98 Apple Hill Ln Zirconia NC 28790","www.campgreystone.com",35.220479461461,-82.431377578203
"31",31,34,"Camp Guilrock","531 Beville Rd","Religoeus","Reidsville","NC",27320,9125,"Jason","Boggs","Director",3363421951,"Camps",721214,NA,NA,NA,NA,"Private","Rockingham",1,87000,"campguilrock.org",1984,"531 Beville Rd Reidsville NC 27320","www.campguilrock.org",36.264737690208,-79.707904144917
"32",32,35,"Camp Henry","25 Wormy Chestnut Ln","Religoeus","Canton","NC",28716,6075,"Rebecca","Knecht","Other",8284759264,"Camps",721214,NA,NA,NA,NA,"Private","Haywood",6,918000,"lakelogan.org",2015,"25 Wormy Chestnut Ln Canton NC 28716","www.lakelogan.org",35.408164797964,-82.927847410513
"33",33,36,"Camp High Five","1103 N Elm St # 300","Other","Greensboro","NC",27401,6312,"Ashley S","Collier","Owner",3360001111,"Camps",721214,813319,NA,NA,NA,"Private","Guilford",2,246000,"camphighfive.org",2015,"1103 N Elm St # 300 Greensboro NC 27401","www.camphighfive.org",36.08814184261,-79.789097396225
"34",34,37,"Camp High Rocks","1234 High Rocks Rd","Boys","Brevard","NC",28712,5120,"Don","Gentle","Director",8288852153,"Camps",721214,NA,NA,NA,NA,"Private","Transylvania",5,804000,"highrocks.com",1958,"1234 High Rocks Rd Brevard NC 28712","www.highrocks.com",35.148723101659,-82.686461594865
"35",35,38,"Camp Highlander","42 Dalton Rd","Religoeus","Horse Shoe","NC",28742,9759,"Karl","Alexander","Owner",8288917721,"Camps",721214,455219,721214,721211,NA,"Private","Henderson",200,56318000,"camphighlander.com",1995,"42 Dalton Rd Horse Shoe NC 28742","www.camphighlander.com",35.372912362382,-82.615808132892
"36",36,39,"Camp Hollymont For Girls","360 Asheville School Rd","Religoeus","Asheville","NC",28806,1569,"Amy","Lewallen","Director",8282522123,"Camps",721214,NA,NA,NA,NA,"Private","Buncombe",8,2932000,"hollymont.com",2012,"360 Asheville School Rd Asheville NC 28806","www.hollymont.com",35.563020269816,-82.620860759274
"37",37,40,"Camp Hollymont-Girls Bus Ofc","475 Lake Eden Rd","Religoeus","Black Mountain","NC",28711,8710,"Amy","Lewallen","Director",8286865343,"Camps",721214,NA,NA,NA,NA,"Private","Buncombe",2,733000,"hollymont.com",1988,"475 Lake Eden Rd Black Mountain NC 28711","www.hollymont.com",35.63641949082,-82.358920431451
"38",38,41,"Camp Hope of Greensboro LLC","4104 Short Farm Rd","Religoeus","Greensboro","NC",27406,9229,"Cheryl","Miles","Owner",3360001111,"Camps",721214,NA,NA,NA,NA,"Private","Guilford",2,246000,NA,2016,"4104 Short Farm Rd Greensboro NC 27406","",36.000606708995,-79.826409932464
"39",39,42,"Camp Illahee","500 Illahee Rd","Girls","Brevard","NC",28712,9154,"J G","Strayhorn","President",8288832181,"Camps",721214,NA,NA,NA,NA,"Private","Transylvania",70,11255000,"campillahee.com",1921,"500 Illahee Rd Brevard NC 28712","www.campillahee.com",35.209793165284,-82.748543263572
"40",40,43,"Camp Judea","48 Camp Judaea Dr","Religoeus","Hendersonville","NC",28792,3297,"Ron","Means","Manager",8286858841,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",35,9856000,"campjudaea.org",1961,"48 Camp Judaea Dr Hendersonville NC 28792","www.campjudaea.org",35.37624643391,-82.382944163824
"41",41,44,"Camp Kahdalea/Chosatonga","2500 Morgan Mill Rd","Religoeus","Brevard","NC",28712,7247,"David","Trufant","Owner",8288846834,"Camps",721214,NA,NA,NA,NA,"Private","Transylvania",100,16079000,"kahdalea.com",1963,"2500 Morgan Mill Rd Brevard NC 28712","www.kahdalea.com",35.177195157063,-82.825591931261
"42",42,45,"Camp Kerr Lake","3111 Flemingtown Rd","Religoeus","Henderson","NC",27537,9809,"Paul","Robinson","Exec Director",2524362255,"Camps",721214,NA,NA,NA,NA,"Private","Vance",2,196000,"shilohfamilyministries.org",2006,"3111 Flemingtown Rd Henderson NC 27537","www.shilohfamilyministries.org",36.43367004557,-78.349496675212
"43",43,47,"Camp Living Water","1510 W Deep Creek Rd","Religoeus","Bryson City","NC",28713,6905,"Joel","Sasser","Exec Director",8284886012,"Camps",721214,813319,813110,NA,NA,"Private","Swain",4,729000,"camplivingwater.com",1947,"1510 W Deep Creek Rd Bryson City NC 28713","www.camplivingwater.com",35.453096090981,-83.442990460964
"44",44,48,"Camp Loy White-Office","258 Hull Rd","Religoeus","Casar","NC",28020,8757,NA,NA,NA,7045383866,"Camps",721214,721214,NA,NA,NA,"Private","Cleveland",4,366000,"tekoafoothills.org",2006,"258 Hull Rd Casar NC 28020","www.tekoafoothills.org",35.502772339968,-81.578226475246
"45",45,49,"Camp Lurecrest","207 Charlotte Dr","Religoeus","Lake Lure","NC",28746,6314,"Jermery","White","Exec Director",7048412701,"Camps",721214,813319,NA,NA,NA,"Private","Rutherford",100,9137000,"camplurecrest.org",2005,"207 Charlotte Dr Lake Lure NC 28746","www.camplurecrest.org",35.421843527832,-82.19059821076
"46",46,50,"Camp Manna Ministries Inc","243 Gibson Way","Religoeus","Mocksville","NC",27028,6780,"Jessica","Branham","Administrator",3362842267,"Camps",721214,813319,813110,NA,NA,"Private","Davie",10,906000,"campmanna.org",2006,"243 Gibson Way Mocksville NC 27028","www.campmanna.org",35.80484941902,-80.532991354512
"47",47,51,"Camp Mary Atkinson","8591 Nc Highway 42 E","Other","Selma","NC",27576,7955,"Don","Perry","Manager",9199750555,"Camps",721214,NA,NA,NA,NA,"Private","Johnston",2,205000,"nccoastalpines.org/en/members/for-girl-scouts/camp-and-outdoors/summer-resident-camp/camp-mary-atkinson.html",2011,"8591 Nc Highway 42 E Selma NC 27576","www.nccoastalpines.org/en/members/for-girl-scouts/camp-and-outdoors/summer-resident-camp/camp-mary-atkinson.html",35.663490544718,-78.270214179928
"48",48,52,"Camp Mccall","1040 Camp Mccall Rd","Religoeus","Bostic","NC",28018,8620,"Ronnie","Walker","Manager",8282450013,"Camps",721214,NA,NA,NA,NA,"Private","Rutherford",3,275000,"campmccall.org",1984,"1040 Camp Mccall Rd Bostic NC 28018","www.campmccall.org",35.557212206459,-81.817385575624
"49",49,53,"Camp Mcdaniel Inc","402 Camp Ferry Rd","Religoeus","Mooresboro","NC",28114,7742,"Robert W","Wolf","Owner",8280001111,"Camps",721214,NA,NA,NA,NA,"Private","Rutherford",2,183000,"facebook.com/campmcdaniel/",2015,"402 Camp Ferry Rd Mooresboro NC 28114","www.facebook.com/campmcdaniel/",35.192635815963,-81.800739418325
"50",50,54,"Camp Mcneill","13165 Nc Highway 53 W","Other","White Oak","NC",28399,8500,"Martin","Clemmer","Other",9103951100,"Camps",721214,NA,NA,NA,NA,"Private","Bladen",5,756000,"capefearcouncilbsa.org",1916,"13165 Nc Highway 53 W White Oak NC 28399","www.capefearcouncilbsa.org",34.788876632821,-78.726101489648
"51",51,56,"Camp Mondamin","413 Mondamin Rd","Boys","Zirconia","NC",28790,449,"Andrew","Bell","Director",8286937446,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",150,42239000,"mondamin.com",1922,"413 Mondamin Rd Zirconia NC 28790","www.mondamin.com",35.223177115309,-82.426484599516
"52",52,57,"Camp Moo Gung Hwa","5408 Duraleigh Rd","Other","Raleigh","NC",27612,7634,NA,NA,NA,9196052743,"Camps",721214,NA,NA,NA,NA,"Private","Wake",4,505000,"koreanculturecamp.net",2015,"5408 Duraleigh Rd Raleigh NC 27612","www.koreanculturecamp.net",35.850624400483,-78.710991281853
"53",53,58,"Camp New Hope","734 Philmore Miller Rd","Other","West Jefferson","NC",28694,8571,"Randy","Brown","Manager",3369828099,"Camps",721214,424350,NA,NA,NA,"Private","Ashe",1,84000,"campnewhopenc.com",2006,"734 Philmore Miller Rd West Jefferson NC 28694","www.campnewhopenc.com",36.354746066078,-81.404054234279
"54",54,59,"Camp New Hope","19421 Liverpool Pkwy","Other","Cornelius","NC",28031,6283,"Randy","Brown","Director",7040001111,"Camps",721214,813311,813319,NA,NA,"Private","Mecklenburg",3,395000,"campnewhopenc.com",2021,"19421 Liverpool Pkwy Cornelius NC 28031","www.campnewhopenc.com",35.478600688034,-80.879966272632
"55",55,60,"Camp Oak Hill & Retreat Ctr","1528 Oak Hill Rd","Religoeus","Oxford","NC",27565,7850,"Taylor","Cashwell","Director",9197822888,"Camps",721214,NA,NA,NA,NA,"Private","Granville",9,803000,"campoakhill.org",1977,"1528 Oak Hill Rd Oxford NC 27565","www.campoakhill.org",36.487267737574,-78.72051774862
"56",56,61,"Camp Oak Hill & Retreat Ctr","3824 Barrett Dr # 107","Religoeus","Raleigh","NC",27609,7220,"Taylor","Cashwell","Director",9197822888,"Camps",721214,813110,NA,NA,NA,"Private","Wake",7,883000,"campoakhill.org",1977,"3824 Barrett Dr # 107 Raleigh NC 27609","www.campoakhill.org",35.82821932252,-78.632742861498
"57",57,62,"Camp Oakwood","8208 Clasara Cir","Other","Raleigh","NC",27613,4161,NA,NA,NA,9198306404,"Camps",721214,NA,NA,NA,NA,"Private","Wake",4,505000,"facebook.com/campoakwoodraleigh/",2017,"8208 Clasara Cir Raleigh NC 27613","www.facebook.com/campoakwoodraleigh/",35.888687494628,-78.73235407451
"58",58,63,"Camp Pinewood","300 Orrs Camp Rd","Other","Hendersonville","NC",28792,2999,"Jack","Levine","Owner",8286926239,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",150,42239000,"camppinewood.net",1984,"300 Orrs Camp Rd Hendersonville NC 28792","www.camppinewood.net",35.335230807515,-82.441227858179
"59",59,64,"Camp Pinnacle","1 Wolfe Lake Dr","Other","Hendersonville","NC",28739,7738,"John","Dockendorf","Owner",8286922677,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",100,28159000,"camppinnacle.com",1928,"1 Wolfe Lake Dr Hendersonville NC 28739","www.camppinnacle.com",35.268841475012,-82.494393222699
"60",60,65,"Camp Greyrock","337 Camp Rainbow Rd","Other","Boone","NC",28607,8325,"Dean","Cheek","Manager",8289634680,"Camps",721214,NA,NA,NA,NA,"Private","Watauga",15,1409000,"campgreyrock.com",2021,"337 Camp Rainbow Rd Boone NC 28607","www.campgreyrock.com",36.15927831607,-81.771163137529
"61",61,66,"Camp Raven Knob","266 Raven Knob Rd","Other","Mt Airy","NC",27030,9082,"Keith","Bobbitt","Director",3363524307,"Camps",721214,NA,NA,NA,NA,"Private","Surry",175,10911000,"ravenknob.com",1955,"266 Raven Knob Rd Mt Airy NC 27030","www.ravenknob.com",36.479072671786,-80.843080887322
"62",62,67,"Camp Ridgecrest For Boys","105 Balsam Rd","Boys","Hendersonville","NC",28792,6201,"Ron","Springs","Director",8286698051,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",7,1972000,"boys.ridgecrestcamps.com",1929,"105 Balsam Rd Hendersonville NC 28792","www.boys.ridgecrestcamps.com",35.295684236402,-82.44993962981
"63",63,68,"Camp Riverlea For Children","8302 S Lowell Rd","Other","Bahama","NC",27503,8732,"Annie","Giarla","Board Member",9194778739,"Camps",721214,NA,NA,NA,NA,"Private","Durham",26,3060000,"campriverlea.com",1971,"8302 S Lowell Rd Bahama NC 27503","www.campriverlea.com",36.149861672505,-78.946243832083
"64",64,69,"Camp Rock","7224 Park Road","Other","Charlotte","NC",28210,NA,NA,NA,NA,7047168700,"Camps",NA,NA,NA,NA,NA,NA,NA,NA,NA,"foresthill.org/camprock/",NA,"7224 Park Road Charlotte NC 28210","www.foresthill.org/camprock/",35.134987441168,-80.853425618626
"65",65,70,"Camp Rockbrook","152 Parkview Dr","Girls","Brevard","NC",28712,4579,"Jeff","Carter","President",8288844545,"Camps",721214,NA,NA,NA,NA,"Private","Transylvania",27,4342000,"rockbrookcamp.com",2015,"152 Parkview Dr Brevard NC 28712","www.rockbrookcamp.com",35.228933348123,-82.724839058666
"66",66,71,"Camp Rockfish","226 Camp Rockfish Rd","Religoeus","Parkton","NC",28371,8795,"Jim","Martin","Director",9104253529,"Camps",721214,624410,813110,NA,NA,"Private","Robeson",11,1683000,"camprockfish.org",1964,"226 Camp Rockfish Rd Parkton NC 28371","www.camprockfish.org",34.950948554454,-79.0514338103
"67",67,72,"Camp Rockmont","375 Lake Eden Rd","Boys","Black Mountain","NC",28711,8709,"R D","Bruce","CEO",8286863885,"Camps",721214,NA,NA,NA,NA,"Private","Buncombe",175,64129000,"rockmont.com",1956,"375 Lake Eden Rd Black Mountain NC 28711","www.rockmont.com",35.630875567989,-82.36131747736
"68",68,74,"Camp Spring Creek","774 Spring Creek Rd","Other","Bakersville","NC",28705,8458,"Susan","Van Der Vorst","Exec Director",8286881000,"Camps",721214,NA,NA,NA,NA,"Private","Mitchell",36,2434000,"campspringcreek.org",2003,"774 Spring Creek Rd Bakersville NC 28705","www.campspringcreek.org",36.040484922209,-82.083889516153
"69",69,75,"Camp Timberlake","707 Dink Cannon Rd","Boys","Marion","NC",28752,7033,NA,NA,NA,8287384287,"Camps",721214,NA,NA,NA,NA,"Private","McDowell",3,769000,"camptimberlake.com",2017,"707 Dink Cannon Rd Marion NC 28752","www.camptimberlake.com",35.592290746998,-82.019822771215
"70",70,76,"Camp Timbrel","1023 Browning Rd","Girls","Greensboro","NC",27410,4752,"Rachel","Brown","Manager",3360001111,"Camps",721214,NA,NA,NA,NA,"Private","Guilford",5,615000,"facebook.com/camptimbrel/",2017,"1023 Browning Rd Greensboro NC 27410","www.facebook.com/camptimbrel/",36.095469270669,-79.844511403428
"71",71,77,"Camp Ton A Wandah HNDRSNVLL","300 W Ton A Wondah Rd","Girls","Hendersonville","NC",28739,3030,NA,NA,NA,8286924251,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",29,8167000,"camptonawandah.com",2015,"300 W Ton A Wondah Rd Hendersonville NC 28739","www.camptonawandah.com",35.261658136983,-82.476230653764
"72",72,78,"Camp Wayfarer","1 Red Bird Song Rd","Other","Flat Rock","NC",28731,NA,"Jim B","Wilson","President",8286969000,"Camps",721214,NA,NA,NA,NA,"Private","Henderson",55,15488000,"campwayfarer.com",1991,"1 Red Bird Song Rd Flat Rock NC 28731","www.campwayfarer.com",35.243668730141,-82.400552247528
"73",73,79,"Camp Willow Springs","102 Camp Willow Springs Dr","Religoeus","Littleton","NC",27850,18,NA,NA,NA,2525860728,"Camps",721214,721211,NA,NA,NA,"Private","Warren",2,164000,"campwillowsprings.org",1999,"102 Camp Willow Springs Dr Littleton NC 27850","www.campwillowsprings.org",36.492389039828,-77.908236853313
"74",74,82,"Camps 4 Kids","110 Marantha Rd","Other","Fairview","NC",28730,9665,"Jonathan","Peck","Director",8286287954,"Camps",721214,NA,NA,NA,NA,"Private","Buncombe",6,2199000,"camp4kids.org",2016,"110 Marantha Rd Fairview NC 28730","www.camp4kids.org",35.542741488903,-82.402432870185
"75",75,83,"Camps Construction Co","520 E Charles St","Other","Matthews","NC",28105,4788,"James E","Camps","President",7043211492,"Construction Companies",236115,236115,236220,NA,NA,"Private","Mecklenburg",3,1517000,"campsconstruction.com",2011,"520 E Charles St Matthews NC 28105","www.campsconstruction.com",35.113336979354,-80.715690014141
"76",76,85,"Carolina Bible Camp & Retreat","1988 Jericho Church Rd","Religoeus","Mocksville","NC",27028,4222,"Don","Rhodes","Manager",3364927802,"Camps",721214,NA,NA,NA,NA,"Private","Davie",2,182000,"carolinabiblecamp.org",1955,"1988 Jericho Church Rd Mocksville NC 27028","www.carolinabiblecamp.org",35.8678077533,-80.603334206673
"77",77,86,"Carolina Soccer Camps","1408 Walker Ave","Sport","Greensboro","NC",27412,5061,"Justin","Maullin","Owner",3368809084,"Sports Instruction",713990,NA,NA,NA,NA,"Private","Guilford",2,115000,"carolinasoccercamps.com",2013,"1408 Walker Ave Greensboro NC 27412","www.carolinasoccercamps.com",36.068457659659,-79.812704221632
"78",78,87,"Clapping Hands Farm","3348 Alston Chapel Rd","Other","Pittsboro","NC",27312,9029,"Louise","Omoto Kessel","Owner",9195425599,"Camps",721214,NA,NA,NA,NA,"Private","Chatham",12,958000,"clappinghandsfarm.com",2007,"3348 Alston Chapel Rd Pittsboro NC 27312","www.clappinghandsfarm.com",35.709239703487,-79.248921967826
"79",79,89,"Dice Summer Camp Inc","202 Southampton Dr NW","Other","Concord","NC",28027,2201,"Charzette","Brown","Manager",7040001111,"Camps",721214,NA,NA,NA,NA,"Private","Cabarrus",5,524000,"facebook.com/campdiceclt/",2017,"202 Southampton Dr NW Concord NC 28027","www.facebook.com/campdiceclt/",35.430887493644,-80.61300761465
"80",80,90,"Discovery Place","105 Gilead Rd","Other","Huntersville","NC",28078,NA,NA,NA,NA,NA,"Camps",NA,NA,NA,NA,NA,NA,NA,NA,NA,"visit.discoveryplace.org/discoveryplacekidshuntersvillesummercamps/events",NA,"105 Gilead Rd Huntersville NC 28078","www.visit.discoveryplace.org/discoveryplacekidshuntersvillesummercamps/events",35.410731249115,-80.84357363452
"81",81,91,"Don Lee Camp & Retreat Ctr","315 Camp Don Lee Rd","Religoeus","Arapahoe","NC",28510,9688,"John","Farmer","Director",2522491106,"Camps",721214,NA,NA,NA,NA,"Private","Pamlico",60,4761000,"donleecenter.org",1984,"315 Camp Don Lee Rd Arapahoe NC 28510","www.donleecenter.org",34.975858368645,-76.791233282485
